timestamp,micro_response_time,micro_vus,mono_response_time,mono_vus,hybrid_response_time,hybrid_vus,dist_micro_response_time,dist_micro_vus,dist_mono_response_time,dist_mono_vus,dist_hybrid_response_time,dist_hybrid_vus
113,112.88793170000001,137.0,199.7002594,137.0,104.50558410000001,137.0,21.5652454,137.0,55.072144,137.0,515.3177866,137.0
114,117.2815243,138.6,283.2960757,138.6,253.77828420000006,138.6,57.90337309999999,138.6,71.2148237,138.6,2008.5635847999997,138.6
115,166.0349776,140.4,131.58002679999998,140.4,98.04188490000001,140.4,36.964498199999994,140.4,52.931976199999994,140.4,1824.8556446999999,140.4
116,166.2773827,142.0,181.29051839999997,142.0,108.16852550000002,142.0,22.8933257,142.0,72.75373769999999,142.0,1760.7800047,142.0
117,142.9563841,143.6,162.65466499999997,143.6,440.9501813,143.6,43.5886493,143.6,65.40513539999999,143.6,185.6350884,143.6
118,244.37758760000003,145.4,162.3675884,145.4,89.99735189999998,145.4,20.547661499999997,145.4,37.7469953,145.4,178.78501,145.4
119,96.8347301,147.0,151.75695329999996,147.0,113.23317850000001,147.0,58.957905300000014,147.0,40.00834590000001,147.0,230.66037760000003,147.0
120,67.9785474,148.6,173.32653299999998,148.6,85.23651899999999,148.6,23.790101099999998,148.6,33.4472881,148.6,258.45537750000005,148.6
121,53.2677684,150.4,164.58623899999998,150.4,117.9331107,150.4,60.350173900000016,150.4,23.992767799999996,150.4,155.9290969,150.4
122,54.234567199999994,152.0,140.5570759,152.0,75.15061030000001,152.0,32.760065499999996,152.0,150.3216416,152.1,1867.8510159000002,152.0
123,59.99469210000001,153.6,187.62236149999998,153.6,66.6953872,153.6,46.865563,153.6,78.6662339,153.6,2209.5778540999995,153.6
124,110.8115121,155.4,173.3325943,155.4,89.9061361,155.4,16.8441446,155.4,52.632041600000015,155.4,1585.5192878000003,155.4
125,65.43311800000001,157.0,243.3900627,157.0,58.988079000000006,157.0,37.3950652,157.0,55.935504200000004,157.0,395.4280729,157.0
126,92.66447140000001,158.6,229.2860256,158.6,107.04534190000001,158.6,25.628378399999995,158.6,111.4805204,158.6,171.7348879,158.6
127,89.0715591,160.4,214.6891341,160.4,73.62976850000001,160.4,24.856920499999994,160.4,66.214243,160.4,185.3715078,160.4
128,74.8567035,162.0,212.25762759999998,162.0,84.79872939999998,162.0,78.7043616,162.0,117.48750659999996,162.0,165.2816518,162.0
129,223.56604769999998,163.6,184.28077480000002,163.6,96.37520599999999,163.6,41.653142499999994,163.6,61.3534359,163.6,473.44692570000007,163.6
130,57.35814439999999,165.4,200.18908059999995,165.4,69.4012793,165.4,38.3890744,165.4,155.61135499999997,165.4,2675.4764619999996,165.4
131,69.40348759999999,167.0,135.6241855,167.0,81.5600686,167.0,53.46018889999999,167.0,40.04352339999999,167.0,2350.0777504,167.0
132,38.918479399999995,168.6,164.41216980000004,168.6,106.72967940000001,168.6,34.2339451,168.6,57.7899578,168.6,2250.8429446,168.6
133,92.667857,170.4,172.41492290000002,170.4,944.0849366,170.4,39.06486149999999,170.4,42.21861210000001,170.4,457.1363295000001,170.4
134,81.8117712,172.0,138.8981322,172.0,148.8850334,172.0,134.3723352,172.0,45.776994599999995,172.0,208.16648030000002,172.0
135,83.0803012,173.6,151.70825109999998,173.6,125.23370979999997,173.6,23.1625767,173.6,136.588628,173.6,182.2682738,173.6
136,162.2375064,175.4,220.35597280000002,175.4,105.89711780000002,175.4,78.9229723,175.4,114.88296650000002,175.4,194.30006740000005,175.4
137,105.78963960000002,177.0,217.74767889999998,177.0,263.5792302000001,177.0,26.9065494,177.0,46.6708665,177.0,229.2776866,177.0
138,63.7144406,178.6,154.2087257,178.6,761.6930897,178.6,576.3552713000001,178.6,46.2242777,178.6,2113.8509836,178.6
139,68.9103126,180.4,177.66470500000003,180.4,166.00046400000002,180.4,23.427010699999997,180.4,69.77159529999999,180.4,2723.2989985,180.4
140,72.4305894,182.0,155.8336193,182.0,157.40183539999998,182.0,31.159844399999997,182.0,51.728381999999996,182.0,2520.5732652,182.0
141,60.708203100000006,183.6,192.29325820000003,183.6,165.94186309999998,183.6,30.8424086,183.6,101.3797721,183.6,1210.8374755,183.6
142,52.19961429999999,185.4,155.5173331,185.5,143.55620089999996,185.4,62.62705029999999,185.4,121.90461680000001,185.4,172.82944840000002,185.4
143,71.345654,187.0,208.4574813,187.0,105.06365000000001,187.0,71.0708702,187.0,52.2900958,187.0,296.40744770000003,187.0
144,44.0621908,188.6,161.00398290000004,188.6,65.85273529999999,188.6,67.1592569,188.6,51.7433131,188.6,1121.4060996,188.6
145,76.13513619999999,190.4,188.4806862,190.4,76.2802521,190.4,50.94148800000001,190.4,35.79872950000001,190.4,3400.0030456,190.4
146,75.9772928,192.0,145.98246769999997,192.0,68.1280699,192.0,230.10497070000002,192.0,60.9441446,192.0,2071.6577795,192.0
147,112.61538489999998,193.6,248.76250629999998,193.6,181.8363337,193.6,35.09109410000001,193.6,51.601602700000015,193.6,358.3762474,193.6
148,71.8851147,195.4,211.55719879999998,195.4,75.9980718,195.4,75.99095940000001,195.4,57.52027660000001,195.4,328.9082238,195.4
149,70.20397530000001,197.0,236.88687590000004,197.0,64.47202460000001,197.0,47.298893400000004,197.0,71.9801676,197.0,2122.7981652000003,197.0
150,76.05059150000001,198.6,260.3771713,198.6,83.50379029999999,198.6,62.0751011,198.6,51.4410409,198.6,2878.8201341,198.6
151,86.91256619999999,197.4,233.25067569999996,197.6,111.305358,197.4,57.253104699999994,197.3,36.831185600000005,197.3,2112.3670564000004,197.9
152,89.71540810000002,190.5,214.31572450000004,190.6,92.2337836,190.6,21.0950172,190.7,61.3905012,190.6,293.8845272,190.7
153,114.0044035,184.1,233.78711800000002,184.1,74.28411890000001,184.0,62.666492900000016,184.1,63.840138100000004,183.9,211.72112069999997,184.0
154,72.64214079999999,177.4,173.3172695,177.5,131.88755980000002,177.5,34.0167499,177.2,153.2573263,177.2,182.1041258,177.5
155,50.390375999999996,170.7,201.68474750000001,170.8,120.9906256,170.4,58.901281000000004,170.7,25.8803823,170.5,204.38007140000002,170.8
156,33.26151230000001,164.0,111.52171819999998,164.2,191.11773920000002,164.3,67.9770671,164.0,70.2050329,163.9,1678.6327104,164.3
157,90.5595701,157.4,132.938031,157.5,177.58906259999998,157.4,50.99495159999999,157.2,59.0240991,157.3,2277.3988761,158.0
158,78.55528180000002,150.5,164.59313279999998,150.6,188.8519704,150.6,47.129844299999995,150.8,77.5427151,150.6,1947.8409285000002,151.3
159,141.37286239999997,144.0,102.7036517,143.9,114.88619940000001,144.1,67.88358380000001,143.9,975.0505154,144.3,845.6734747,144.4
160,39.0124838,137.2,96.480113,137.4,94.3880816,137.2,67.7370032,137.5,562.1200148,137.4,155.93639689999998,137.3
161,61.2771053,130.4,52.787422500000005,130.7,83.0474056,130.6,70.68028419999999,130.8,237.53232630000002,130.6,208.8762112,130.4
162,64.0895167,123.9,122.1954819,124.1,100.44988369999999,124.2,18.112687,123.9,161.5182089,124.1,144.5139488,124.1
163,73.7449,117.3,188.0095648,117.5,73.9613176,117.2,242.1062539,117.3,140.9597261,117.2,292.3856659,117.4
164,29.154559600000006,110.3,56.11339549999999,110.5,81.6788896,110.7,65.844261,110.7,44.099384,110.5,143.8664588,110.7
165,53.3147204,104.1,188.14349339999995,103.7,89.8014083,104.1,103.0569428,103.8,51.549678099999994,103.9,143.9444657,103.8
166,95.3990051,97.4,136.335969,97.2,108.84103140000002,97.4,18.619692999999994,97.1,43.193087399999996,97.2,118.7240501,97.3
167,36.7597667,90.6,71.01951680000002,90.7,171.4060492,90.6,30.040183000000003,90.6,98.47141200000002,90.5,186.66296870000002,90.9
168,73.39038919999999,84.2,139.8553914,84.1,162.21030619999996,83.8,59.1743053,84.0,43.9393547,84.0,129.38181079999998,84.1
169,86.40380640000001,77.4,69.84941730000001,77.2,128.5006671,77.3,71.1873311,77.2,52.15249289999999,77.2,125.54364330000001,77.3
170,164.6993135,70.8,109.61328499999999,70.7,95.5615364,70.7,63.9383185,70.7,71.6412139,70.7,104.90362420000001,70.7
171,63.8476132,63.7,68.6262828,63.8,61.178997300000006,64.1,92.29164329999999,63.9,67.59721230000001,63.9,72.23628439999999,64.0
172,61.712447700000006,57.4,63.593014700000005,57.3,129.5620412,57.4,194.3339573,57.4,35.8265337,57.1,116.3757449,57.4
173,101.5012965,50.7,47.4973194,50.5,123.579007,50.6,88.14358899999999,50.7,122.1588247,50.6,128.4221699,50.7
174,64.48698629999998,43.9,52.453511500000005,43.9,134.5583572,43.8,103.8557041,43.9,81.63079259999999,43.8,126.713618,44.0
175,80.90429909999999,37.3,73.53375120000001,37.2,75.31358650000001,37.4,89.6086921,37.2,141.9992239,37.2,58.54631019999999,37.2
176,24.7390605,30.6,53.4368453,30.9,103.63764719999999,30.6,106.60664040000002,30.5,201.1083821,30.6,100.0196981,30.6
177,69.210108,24.0,33.970860300000005,23.9,107.80105080000001,23.9,132.2153768,24.0,77.24917830000001,23.8,207.25600319999998,24.3
178,35.7643221,17.4,54.04925999999999,17.1,66.88040140000001,17.1,106.38345480000001,17.3,80.7099516,17.1,65.41241740000001,17.1
179,47.3265818,10.5,30.611015,10.5,36.3202879,10.6,76.0806462,10.6,70.05941419999999,10.6,54.358347200000004,10.6
180,102.3406264,4.0,25.4229916,3.9,49.59602650000001,4.2,49.2124552,3.9,52.2697676,3.9,27.0529977,3.8
